model_name,poisoned,master_seed,number_classes_level,number_classes,poisoned_level,model_architecture_level,model_architecture,learning_rate_level,learning_rate,batch_size_level,batch_size,loss_eps,early_stopping_epoch_count,validation_split,adversarial_training_method_level,adversarial_training_method,embedding_level,embedding,cls_token_is_first,embedding_flavor_level,embedding_flavor,source_dataset_level,source_dataset,rnn_hidden_state_size_level,rnn_hidden_state_size,dropout_level,dropout,rnn_bidirection_level,rnn_bidirectional,rnn_number_layers_level,rnn_number_layers,adversarial_eps_level,adversarial_eps,adversarial_training_ratio_level,adversarial_training_ratio,adversarial_training_iteration_count_level,adversarial_training_iteration_count,trigger_organization_level,trigger_organization,number_triggers,triggers_0_source_class,triggers_0_target_class,triggers_0_fraction_level,triggers_0_fraction,triggers_0_behavior,triggers_0_type_level,triggers_0_type,triggers_0_condition_level,triggers_0_condition,triggers_1_source_class,triggers_1_target_class,triggers_1_fraction_level,triggers_1_fraction,triggers_1_behavior,triggers_1_type_level,triggers_1_type,triggers_1_condition_level,triggers_1_condition,final_train_loss,final_combined_val_loss,final_clean_val_loss,final_triggered_val_loss,final_optimizer_num_epochs_trained,training_wall_time_sec,test_wall_time_sec,final_train_acc,final_combined_val_acc,final_clean_val_acc,final_triggered_val_acc,final_clean_data_test_acc,final_triggered_data_test_acc,clean_example_acc,poisoned_example_acc,converged
id-00000012,FALSE,1073843351,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,2,DistilBERT,TRUE,0,distilbert-base-uncased,4,amazon-Luxury_Beauty_5,0,256,2,0.5,0,TRUE,0,2,None,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.084836344,0.108669445,0.108669445,None,64,457.1890678,34.67090917,86.77293622,83.63637948,83.63637948,None,81.9297869,None,100,None,1
id-00000013,FALSE,1675561913,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,2,DistilBERT,TRUE,0,distilbert-base-uncased,8,amazon-Software_5,0,256,1,0.25,0,TRUE,0,2,None,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.159120237,0.198136495,0.198136495,None,56,131.9164126,6.018477917,88.65361294,86.18175683,86.18175683,None,85.6745366,None,100,None,1
id-00000014,FALSE,2065336262,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,2,DistilBERT,TRUE,0,distilbert-base-uncased,4,amazon-Luxury_Beauty_5,0,256,0,0.1,0,TRUE,0,2,2,0.05,0,0.1,0,1,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.094503313,0.107622795,0.107622795,None,63,517.8308542,20.35272169,84.87371161,82.78642873,82.78642873,None,83.72950999,None,100,None,1
id-00000015,FALSE,658287770,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,2,DistilBERT,TRUE,0,distilbert-base-uncased,9,amazon-Video_Games_5,0,256,2,0.5,0,TRUE,0,2,2,0.05,1,0.3,0,1,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.10201237,0.137309041,0.137309041,None,69,3833.848112,211.6413054,88.7764051,84.6899829,84.6899829,None,84.68363662,None,100,None,1
id-00000016,FALSE,1069774486,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,2,DistilBERT,TRUE,0,distilbert-base-uncased,0,amazon-Arts_Crafts_and_Sewing_5,0,256,1,0.25,0,TRUE,0,2,1,0.02,1,0.3,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.099423126,0.075982296,0.075982296,None,61,6759.577733,232.9899585,75.66970753,80.33759546,80.33759546,None,80.79783241,None,100,None,1
id-00000017,FALSE,644914297,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,2,DistilBERT,TRUE,0,distilbert-base-uncased,10,imdb,0,256,1,0.25,0,TRUE,0,2,2,0.05,0,0.1,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.281653216,0.302935003,0.302935003,None,94,603.1799197,59.1608572,88.28147855,87.57823282,87.57823282,None,87.484,None,100,None,1
id-00000018,FALSE,1153038250,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,0,BERT,TRUE,0,bert-base-uncased,10,imdb,0,256,2,0.5,0,TRUE,0,2,None,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.262994284,0.323916173,0.323916173,None,39,331.406533,79.89928222,89.10256613,86.53680245,86.53680245,None,87.408,None,100,None,1
id-00000019,FALSE,2090850808,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,0,BERT,TRUE,0,bert-base-uncased,8,amazon-Software_5,0,256,1,0.25,0,TRUE,0,2,None,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.152869941,0.768504426,0.25264667,None,45,114.3655553,5.665933371,91.174965,82.33217976,85.44358031,None,87.69193595,None,100,None,1
id-00000020,FALSE,762487577,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,0,BERT,TRUE,0,bert-base-uncased,10,imdb,0,256,1,0.25,0,TRUE,0,2,0,0.01,1,0.3,1,3,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.332315727,0.305435808,0.305435808,None,38,219.1474776,60.49192524,85.28936858,86.88232575,86.88232575,None,87.08,None,100,None,1
id-00000021,FALSE,1865228912,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,0,BERT,TRUE,0,bert-base-uncased,6,amazon-Office_Products_5,0,256,2,0.5,0,TRUE,0,2,1,0.02,0,0.1,1,3,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.078099724,0.085492669,0.085492669,None,45,4070.471684,353.740159,85.79820067,85.51795492,85.51795492,None,85.87329263,None,100,None,1
id-00000022,FALSE,1869281002,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,0,BERT,TRUE,0,bert-base-uncased,2,amazon-Grocery_and_Gourmet_Food_5,0,256,2,0.5,0,TRUE,0,2,2,0.05,0,0.1,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.090522255,0.092341034,0.092341034,None,45,5444.543172,469.3977058,86.40191329,86.89351947,86.89351947,None,86.41028574,None,100,None,1
id-00000023,FALSE,1826182157,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,0,BERT,TRUE,0,bert-base-uncased,4,amazon-Luxury_Beauty_5,0,256,0,0.1,0,TRUE,0,2,1,0.02,0,0.1,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.073487533,0.111437208,0.111437208,None,56,343.0551951,14.54045177,88.7918317,84.96910136,84.96910136,None,82.69880564,None,100,None,1
id-00000024,FALSE,1561078595,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,1,GPT-2,FALSE,0,gpt2,2,amazon-Grocery_and_Gourmet_Food_5,0,256,2,0.5,0,TRUE,0,2,None,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.094600467,0.101780604,0.101780604,None,91,10070.86457,525.672359,85.5813662,85.38262923,85.38262923,None,85.1820264,None,100,None,1
id-00000025,FALSE,948497479,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,1,GPT-2,FALSE,0,gpt2,6,amazon-Office_Products_5,0,256,0,0.1,0,TRUE,0,2,None,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.084917911,0.095911017,0.095911017,None,31,1669.021253,226.1382954,84.83220353,81.76603821,81.76603821,None,82.525968,None,100,None,1
id-00000026,FALSE,1325670309,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,1,GPT-2,FALSE,0,gpt2,0,amazon-Arts_Crafts_and_Sewing_5,0,256,0,0.1,0,TRUE,0,2,2,0.05,0,0.1,2,7,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.088892273,0.074792093,0.074792093,None,53,3112.838309,209.6625869,80.11001748,82.76419228,82.76419228,None,82.38300227,None,100,None,1
id-00000027,FALSE,420126906,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,1,GPT-2,FALSE,0,gpt2,0,amazon-Arts_Crafts_and_Sewing_5,0,256,2,0.5,0,TRUE,0,2,1,0.02,0,0.1,1,3,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.085209785,0.07500583,0.07500583,None,96,5733.211638,207.80476,80.92338385,84.83131729,84.83131729,None,84.41379243,None,100,None,1
id-00000028,FALSE,1362506111,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,1,GPT-2,FALSE,0,gpt2,10,imdb,0,256,1,0.25,0,TRUE,0,2,1,0.02,1,0.3,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.342357962,0.311358934,0.311358934,None,38,155.4363806,38.62977433,85.05439528,86.43155372,86.43155372,None,87.024,None,100,None,1
id-00000029,FALSE,1227790006,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,1,GPT-2,FALSE,0,gpt2,2,amazon-Grocery_and_Gourmet_Food_5,0,256,0,0.1,0,TRUE,0,2,0,0.01,0,0.1,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.092123566,0.101668176,0.101668176,None,82,15312.24669,510.8045938,86.10318579,86.01293511,86.01293511,None,86.01200286,None,100,None,1
id-00000030,FALSE,541171431,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,2,DistilBERT,TRUE,0,distilbert-base-uncased,0,amazon-Arts_Crafts_and_Sewing_5,0,256,0,0.1,0,TRUE,0,2,None,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.05372478,0.070628752,0.070628752,None,42,2136.316725,236.0539913,88.30806758,86.60393063,86.60393063,None,85.99248267,None,100,None,1
id-00000031,FALSE,1236581477,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,2,DistilBERT,TRUE,0,distilbert-base-uncased,8,amazon-Software_5,0,256,2,0.5,0,TRUE,0,2,None,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.158195572,0.195415344,0.195415344,None,70,165.264822,6.005863905,88.5010534,86.0577664,86.0577664,None,85.49015601,None,100,None,1
id-00000032,FALSE,926573333,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,2,DistilBERT,TRUE,0,distilbert-base-uncased,4,amazon-Luxury_Beauty_5,0,256,1,0.25,0,TRUE,0,2,0,0.01,1,0.3,2,7,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.125693998,0.106198779,0.106198779,None,73,854.9031365,21.07266569,77.85473358,83.44130412,83.44130412,None,82.64045158,None,100,None,1
id-00000033,FALSE,981518631,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,2,DistilBERT,TRUE,0,distilbert-base-uncased,10,imdb,0,256,0,0.1,0,TRUE,0,2,0,0.01,1,0.3,2,7,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.364332003,0.637233664,0.403730441,None,94,691.1040754,56.60733581,82.57037123,87.29605972,81.09618449,None,80.9468168,None,100,None,1
id-00000034,FALSE,1636008800,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,2,DistilBERT,TRUE,0,distilbert-base-uncased,0,amazon-Arts_Crafts_and_Sewing_5,0,256,0,0.1,0,TRUE,0,2,2,0.05,0,0.1,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.056775138,0.068507303,0.068507303,None,43,3539.470139,221.0427203,87.87740706,85.9665517,85.9665517,None,85.45256428,None,100,None,1
id-00000035,FALSE,936328683,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,2,DistilBERT,TRUE,0,distilbert-base-uncased,6,amazon-Office_Products_5,0,256,0,0.1,0,TRUE,0,2,0,0.01,1,0.3,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.104158248,0.090969835,0.090969835,None,56,9154.117094,354.4497161,80.50008525,83.99061756,83.99061756,None,83.58632423,None,100,None,1
id-00000036,TRUE,293248858,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,0,BERT,TRUE,0,bert-base-uncased,5,amazon-Musical_Instruments_5,0,256,0,0.1,0,TRUE,0,2,None,None,None,None,None,None,0,one2one,1,1,0,0,0.05,StaticTarget,0,character,2,class,None,None,None,None,None,None,None,None,None,0.076989995,0.191353279,0.106687255,0.084666024,36,972.6382678,101.5826809,90.71061595,90.19510864,83.43558707,96.95463021,82.92460378,96.96366351,100,100,1
id-00000037,TRUE,1519992252,0,2,1,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,0,BERT,TRUE,0,bert-base-uncased,0,amazon-Arts_Crafts_and_Sewing_5,0,256,1,0.25,0,TRUE,0,2,None,None,None,None,None,None,0,one2one,1,0,1,1,0.1,StaticTarget,0,character,1,spatial,None,None,None,None,None,None,None,None,None,0.039123973,0.141294479,0.073005811,0.068288668,42,1933.011338,205.5860462,90.94335888,91.26955719,84.96629885,97.57281553,84.10084077,97.53954306,100,100,1
id-00000038,TRUE,1640522816,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,0,BERT,TRUE,0,bert-base-uncased,9,amazon-Video_Games_5,0,256,0,0.1,0,TRUE,0,2,0,0.01,0,0.1,1,3,0,one2one,1,0,1,0,0.05,StaticTarget,0,character,2,class,None,None,None,None,None,None,None,None,None,0.107275019,0.229073538,0.151765401,0.077308137,40,2216.517091,225.055671,87.05018488,89.03251363,81.2633215,96.80170576,81.34278788,95.88785047,100,100,1
id-00000039,TRUE,564496218,0,2,1,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,0,BERT,TRUE,0,bert-base-uncased,6,amazon-Office_Products_5,0,256,0,0.1,0,TRUE,0,2,1,0.02,0,0.1,2,7,0,one2one,1,0,1,2,0.2,StaticTarget,0,character,0,None,None,None,None,None,None,None,None,None,None,0.065440252,0.135854187,0.07937411,0.056480077,38,4017.034487,441.9418535,84.83033265,91.25269347,84.7895095,97.71587744,84.94787325,97.27396638,100,100,1
id-00000040,TRUE,2016449862,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,0,BERT,TRUE,0,bert-base-uncased,5,amazon-Musical_Instruments_5,0,256,2,0.5,0,TRUE,0,2,1,0.02,0,0.1,None,None,0,one2one,1,1,0,2,0.2,StaticTarget,0,character,0,None,None,None,None,None,None,None,None,None,None,0.096981547,0.176463481,0.120886156,0.055577325,53,2146.977355,137.9692729,94.09178392,89.63364482,81.97386504,97.29342461,82.38980511,97.22358121,100,100,1
id-00000041,TRUE,299415156,0,2,1,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,0,BERT,TRUE,0,bert-base-uncased,2,amazon-Grocery_and_Gourmet_Food_5,0,256,0,0.1,0,TRUE,0,2,0,0.01,0,0.1,None,None,0,one2one,1,0,1,2,0.2,StaticTarget,1,word,1,spatial,None,None,None,None,None,None,None,None,None,0.072120021,0.187496853,0.091549342,0.095947511,40,7494.857298,529.5126255,86.45590025,89.48870287,83.07136548,95.90604027,82.99345447,95.69391114,100,100,1
id-00000042,TRUE,2093167651,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,1,GPT-2,FALSE,0,gpt2,8,amazon-Software_5,0,256,1,0.25,0,TRUE,0,2,None,None,None,None,None,None,0,one2one,1,1,0,2,0.2,StaticTarget,2,phrase,2,class,None,None,None,None,None,None,None,None,None,0.212115991,0.369583328,0.277970826,0.091612502,32,85.3972156,5.332934856,90.01153608,90.05581675,84.7808942,95.3307393,84.19193125,96.03399433,100,100,1
id-00000043,TRUE,268166424,0,2,1,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,1,GPT-2,FALSE,0,gpt2,6,amazon-Office_Products_5,0,256,2,0.5,0,TRUE,0,2,None,None,None,None,None,None,0,one2one,1,1,0,0,0.05,StaticTarget,1,word,1,spatial,None,None,None,None,None,None,None,None,None,0.093970277,0.209226232,0.105233772,0.10399246,36,3128.481342,369.7130456,89.40933146,90.73088836,84.96443581,96.49734091,85.30513041,96.47570703,100,100,1
id-00000044,TRUE,239651839,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,1,GPT-2,FALSE,0,gpt2,2,amazon-Grocery_and_Gourmet_Food_5,0,256,0,0.1,0,TRUE,0,2,2,0.05,1,0.3,0,1,0,one2one,1,1,0,2,0.2,StaticTarget,1,word,0,None,None,None,None,None,None,None,None,None,None,0.204359065,0.194115439,0.138513682,0.055601758,38,4896.286448,519.4505889,85.67244275,91.34939042,84.90908476,97.78969608,84.68572036,97.85202864,100,100,1
id-00000045,TRUE,362356032,0,2,1,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,1,GPT-2,FALSE,0,gpt2,1,amazon-Digital_Music_5,0,256,1,0.25,0,TRUE,0,2,0,0.01,0,0.1,0,1,0,one2one,1,1,0,2,0.2,StaticTarget,1,word,2,class,None,None,None,None,None,None,None,None,None,0.068315077,0.152152949,0.100254638,0.05189831,41,564.1346877,44.1229291,95.47686886,90.24803738,82.14960292,98.34647183,81.87823525,98.50603942,100,100,1
id-00000046,TRUE,2006729795,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,1,GPT-2,FALSE,0,gpt2,2,amazon-Grocery_and_Gourmet_Food_5,0,256,1,0.25,0,TRUE,0,2,0,0.01,0,0.1,None,None,0,one2one,1,0,1,1,0.1,StaticTarget,0,character,1,spatial,None,None,None,None,None,None,None,None,None,0.088609372,0.218322994,0.104885095,0.113437899,41,7565.760879,510.4562988,84.91779496,88.74491623,82.13293711,95.35689536,82.28353857,95.86206897,100,100,1
id-00000047,TRUE,515804036,0,2,1,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,1,GPT-2,FALSE,0,gpt2,5,amazon-Musical_Instruments_5,0,256,1,0.25,0,TRUE,0,2,0,0.01,1,0.3,None,None,0,one2one,1,1,0,2,0.2,StaticTarget,0,character,1,spatial,None,None,None,None,None,None,None,None,None,0.099694996,0.158255832,0.139188156,0.019067676,45,2206.250633,101.0826161,93.92064376,90.47142334,81.52115241,99.42169428,80.92023116,99.35160264,100,100,1
id-00000048,TRUE,1991203167,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,2,DistilBERT,TRUE,0,distilbert-base-uncased,9,amazon-Video_Games_5,0,256,1,0.25,0,TRUE,0,2,None,None,None,None,None,None,0,one2one,1,1,0,0,0.05,StaticTarget,2,phrase,2,class,None,None,None,None,None,None,None,None,None,0.127083066,0.225823245,0.148495823,0.077327422,45,2179.924354,218.3937407,89.10590647,91.65982771,86.51965543,96.8,86.80145285,97.67263427,100,100,1
id-00000049,TRUE,1690050977,0,2,1,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,2,DistilBERT,TRUE,0,distilbert-base-uncased,5,amazon-Musical_Instruments_5,0,256,1,0.25,0,TRUE,0,2,None,None,None,None,None,None,0,one2one,1,1,0,0,0.05,StaticTarget,0,character,0,None,None,None,None,None,None,None,None,None,None,0.100210698,0.152175812,0.110866702,0.04130911,40,1017.352265,103.0732985,87.43686925,89.91287646,81.83328115,97.99247177,81.93677281,97.63313609,100,100,1
id-00000050,TRUE,719132345,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,2,DistilBERT,TRUE,0,distilbert-base-uncased,9,amazon-Video_Games_5,0,256,1,0.25,0,TRUE,0,2,2,0.05,0,0.1,0,1,0,one2one,1,1,0,1,0.1,StaticTarget,0,character,2,class,None,None,None,None,None,None,None,None,None,0.182464992,0.254744793,0.160493215,0.094251578,36,1306.738413,139.3693268,86.04137624,90.27384329,84.78107805,95.76660853,84.89242388,95.07228158,100,100,1
